theme,definition,example_titles_from_the_shelf
grief and loss,"mourning a person, a place, or a former self","Hamnet; The Lovely Bones; Crying in H Mart; A Little Luck"
memory and time,"how the past is kept, distorted, or lost","The Years; Before I Go to Sleep; Stories of Your Life; Atonement"
identity and belonging,"who you are allowed to be, and where you fit","Girl, Woman, Other; Pachinko; Born a Crime; Normal People"
race and empire,"racism, colonial power and its long tail","Beloved; The Nickel Boys; Natives; Season of Migration to the North; Babel"
class and money,"poverty, wealth, and what money does to people","Poverty, by America; The Great Gatsby; Such a Fun Age; Small Things Like These"
women's lives,"women's experience under constraint, told from inside","The Handmaid's Tale; The Color Purple; The Power; The Yellow Wall-Paper"
love and desire,"romantic and sexual love, wanted or refused","Call Me by Your Name; Pride and Prejudice; Exciting Times; Intermezzo"
family and inheritance,"parents, children, and what passes between them","Little Fires Everywhere; We Need to Talk About Kevin; Burnt Sugar; Elena Knows"
coming of age,"growing up, and the moment childhood ends","The Catcher in the Rye; Northern Lights; Educated; The Idiot"
war and its aftermath,"war as lived, and what it leaves behind","Birdsong; The Book Thief; Half of a Yellow Sun; As Long as the Lemon Trees Grow"
surveillance and control,"states and systems that watch, manage, or crush people","1984; Brave New World; Fahrenheit 451; The Handmaid's Tale"
power and politics,"how power is taken, kept, and lost","Dune; A Game of Thrones; Animal Farm; The Player of Games"
faith and doubt,"religion, belief, and their absence","Go Tell It on the Mountain; The Little Prince; Dune Messiah"
science and discovery,"how we come to know things, and the people who did","A Short History of Nearly Everything; Fermat's Enigma; The Great Influenza"
technology and its cost,"machines, AI, and what they take from us","Do Androids Dream of Electric Sheep?; Dark Matter; Ready Player One; Emergency Skin"
ecology and the non-human,"nature, climate, and minds that are not ours","The Overstory; Annihilation; Borne; The Day of the Triffids"
myth retold,"old stories told again from a new angle","Circe; The Song of Achilles; The Silence of the Girls; Medusa"
crime and guilt,"wrongdoing, its concealment, and its cost","The Talented Mr. Ripley; Perfume; Murder on the Orient Express; My Sister, the Serial Killer"
mind and madness,"mental illness, neurodivergence, and unreliable minds","The Shock of the Fall; Eleanor Oliphant; The Curious Incident; The Silent Patient"
art and making,"artists, forgery, and the making of things","The Goldfinch; The Muse; The Miniaturist; Yellowface"
migration and exile,"leaving home, arriving elsewhere, never quite landing","The Kite Runner; In the Distance; Pachinko; Season of Migration to the North"
work and ambition,"careers, success, and what they cost","Stoner; Life in Half a Second; The One Thing; Ducks"
body and illness,"sickness, mortality, and the body's limits","When Breath Becomes Air; The Fault in Our Stars; Me Before You"
childhood seen from outside,"children's lives narrated with adult knowledge","Room; The Boy in the Striped Pyjamas; Coraline; The Ocean at the End of the Lane"
friendship and rivalry,"the people who shape us who are not family","The Secret History; Expectation; Everything I Know About Love; Fourth Wing"
isolation and survival,"alone, cut off, and staying alive","The Martian; I Who Have Never Known Men; Lord of the Flies; Red Mars"
how the world works,"explanatory non-fiction: economics, geography, decisions","Freakonomics; Prisoners of Geography; The Silk Roads; Algorithms to Live By"
humour and satire,"comedy as a way of telling the truth","Discworld; Yes Please; Fight Club; Telephone"
